_seq,step,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/dump_rollout_generations,timing_s/step,timing_s/stop_profile,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_per_token_ms/adv,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/save_checkpoint
11,11,3927.0,6085.0,2158.0,4643.0,5640.0,4818.625,0.1605629026889801,-4.262431524693806e-05,0.005960789695382118,-0.00031640041361242767,0.0,2.0703125,0.05720077927704388,29.082397937774658,32.548828125,116.32551574707031,5e-06,11.0,0.0,0.3122657835483551,6.481481552124023,-16.032608032226562,0.3122657835483551,6.481481552124023,-16.032608032226562,-0.14215661585330963,1.3220139741897583,-1.7660523653030396,-0.14215661585330963,1.3220139741897583,-1.7660523653030396,587.3499755859375,2048.0,298.0,0.02500000037252903,587.3499755859375,2048.0,298.0,0.02500000037252903,0.0,376.375,476.0,289.0,0.0,5.4387375712394714e-05,15.195793151855469,33.6821174621582,7.982828140258789,0.125,38.170154662802815,42.86912024393678,3.709726259112358,0.002666352316737175,26.99578596279025,0.07514739595353603,111.82774124480784,8.128024637699127e-05,1.624676711620108,0.7002979574772432,6.916787249311721e-05,38549.0,111.82774124480784,43.08971053480639,
12,12,3273.0,7097.0,3824.0,4809.0,5560.0,5012.375,0.15314826369285583,-5.972289713099613e-05,0.0056328228311031125,0.0003066661602133536,0.0,2.3515625,0.059352188532763424,29.082397937774658,32.548828125,116.7426233291626,5e-06,12.0,0.0,1.3620059490203857,7.0625,-15.357142448425293,1.3620059490203857,7.0625,-15.357142448425293,0.0016483135987073183,1.6039345264434814,-1.7689754962921143,0.0016483135987073183,1.6039345264434814,-1.7689754962921143,601.3499755859375,1814.0,302.0,0.0,601.3499755859375,1814.0,302.0,0.0,0.0,401.125,526.0,240.0,0.0,5.058757960796356e-05,16.083803176879883,30.090381622314453,8.3441743850708,0.125,34.44912495277822,48.7517579626292,3.8074240889400244,0.003506990149617195,27.212430091574788,0.07221432216465473,114.30152541957796,5.474500358104706e-05,1.432157851200558,0.6786311402173318,8.745829446163733e-05,40099.0,114.30152541957796,43.85221440921788,
13,13,3781.0,5387.0,1606.0,4560.0,4702.0,4597.0,0.14554589986801147,-8.667575079016263e-05,0.0056401901878416535,1.149850450019585e-05,0.0,2.3125,0.05576793203863445,29.082397937774658,32.548828125,116.77130889892578,5e-06,13.0,0.0,-1.1439344882965088,7.791139125823975,-19.059406280517578,-1.1439344882965088,7.791139125823975,-19.059406280517578,-0.06758805364370346,1.37679922580719,-1.7733913660049438,-0.06758805364370346,1.37679922580719,-1.7733913660049438,524.0250244140625,1057.0,332.0,0.0,524.0250244140625,1057.0,332.0,0.0,0.0,395.375,493.0,298.0,0.0,5.5380165576934814e-05,12.610788345336914,17.56998634338379,7.3754963874816895,0.125,22.078534364700317,45.07729518041015,3.681490296497941,0.002094447612762451,26.25605995208025,0.07480954751372337,97.17783901281655,4.881061613559723e-05,1.0533149355803786,0.7139455066369439,5.6951479572613965e-05,36776.0,97.17783901281655,47.30502393033985,
14,14,3879.0,9341.0,5462.0,5274.0,6677.0,5500.25,0.153505340218544,-6.8380893208069836e-06,0.005287345034594182,-0.00013963370520286844,0.0,2.21875,0.0645911563396886,29.347873210906982,32.8046875,116.51628112792969,5e-06,14.0,0.0,-0.7608064413070679,6.71875,-22.600000381469727,-0.7608064413070679,6.71875,-22.600000381469727,-0.03098895400762558,1.748359203338623,-1.7613508701324463,-0.03098895400762558,1.748359203338623,-1.7613508701324463,602.5499877929688,2048.0,344.0,0.02500000037252903,602.5499877929688,2048.0,344.0,0.02500000037252903,0.0,497.5,1028.0,290.0,0.0,5.380809307098389e-05,14.952282905578613,33.454078674316406,9.018462181091309,0.125,38.00834142975509,52.15951089002192,3.7996347192674875,0.0037808604538440704,27.59415927529335,0.10267290659248829,121.67932686582208,5.378015339374542e-05,1.5769787332899798,0.6271114784621915,8.59247410082285e-05,44002.0,121.67932686582208,45.20283060133314,
15,15,4298.0,7610.0,3312.0,5282.0,5879.0,5378.625,0.1624286025762558,-4.448557039722079e-05,0.005476852841093205,0.00032045366288002697,1.5206812531687319e-05,2.04296875,0.06492839741202877,29.347873210906982,32.8046875,116.6698865890503,5e-06,15.0,0.0,-0.2607606053352356,7.9452056884765625,-15.924369812011719,-0.2607606053352356,7.9452056884765625,-15.924369812011719,0.06048450246453285,1.1028337478637695,-1.7641174793243408,0.06048450246453285,1.1028337478637695,-1.7641174793243408,622.8499755859375,1900.0,374.0,0.0,622.8499755859375,1900.0,374.0,0.0,0.0,452.875,951.0,292.0,0.0,4.9291178584098816e-05,15.931513786315918,31.277891159057617,12.179237365722656,0.125,35.717943862080574,69.45691356062889,3.7270038966089487,0.002657119184732437,26.760264003649354,0.07962247543036938,135.75070607103407,5.48679381608963e-05,1.4336495087934724,0.6219122917950535,6.175182283419176e-05,43029.0,135.75070607103407,39.621340880433685,
16,16,4452.0,6142.0,1690.0,4985.0,5020.0,5000.375,0.15894131362438202,-9.487386792898095e-05,0.005822188328602351,-0.00017306464828834578,0.0,2.34375,0.06120019182577524,29.347873210906982,32.8046875,116.54212522506714,5e-06,16.0,0.0,-1.6371314525604248,7.930232524871826,-21.351350784301758,-1.6371314525604248,7.930232524871826,-21.351350784301758,0.01900951936841011,1.532454490661621,-1.746374249458313,0.01900951936841011,1.532454490661621,-1.746374249458313,554.2000122070312,907.0,394.0,0.0,554.2000122070312,907.0,394.0,0.0,0.0,445.875,558.0,362.0,0.0,5.414523184299469e-05,12.383783340454102,15.305583953857422,10.13861083984375,0.125,19.684832138940692,52.895503433421254,3.7951109185814857,0.002135239541530609,26.138920368626714,0.09124920517206192,102.61351334862411,4.880689084529877e-05,0.8879841275234884,0.6534240024154867,5.33769852643704e-05,40003.0,102.61351334862411,48.73018023475606,
17,17,3570.0,7043.0,3473.0,4633.0,5619.0,4787.625,0.16463859379291534,-3.84408608078958e-05,0.004947840346721933,0.0005401617846786166,0.0,2.1328125,0.05691153897381934,29.347873210906982,32.8046875,116.38546752929688,5e-06,17.0,0.0,-2.3655476570129395,6.890244007110596,-18.734176635742188,-2.3655476570129395,6.890244007110596,-18.734176635742188,-0.03665081411600113,1.4957048892974854,-1.5976933240890503,-0.03665081411600113,1.4957048892974854,-1.5976933240890503,609.1500244140625,2048.0,320.0,0.02500000037252903,609.1500244140625,2048.0,320.0,0.02500000037252903,0.0,348.375,498.0,287.0,0.0,5.1761046051979065e-05,15.111547470092773,34.264427185058594,7.732108116149902,0.125,38.81386679597199,41.870456827804446,3.785663791000843,0.008125260472297668,26.944335501641035,0.0779439602047205,111.51001287810504,5.2889809012413025e-05,1.5929519328561106,0.7034890864896748,0.0002121422540481363,38301.0,111.51001287810504,42.93448522182037,
18,18,4137.0,7272.0,3135.0,4919.0,5908.0,5062.375,0.15803471207618713,-4.514141008257963e-05,0.005523386257118545,9.012482164507673e-05,0.0,2.0703125,0.06013674777172094,29.347873210906982,32.8046875,116.39304399490356,5e-06,18.0,0.0,-0.8334985971450806,7.900000095367432,-18.066038131713867,-0.8334985971450806,7.900000095367432,-18.066038131713867,-0.0033288083504885435,1.742274522781372,-1.7333136796951294,-0.0033288083504885435,1.742274522781372,-1.7333136796951294,603.2249755859375,2048.0,342.0,0.02500000037252903,603.2249755859375,2048.0,342.0,0.02500000037252903,0.0,409.25,576.0,335.0,0.0,5.255080759525299e-05,15.895029067993164,33.589569091796875,10.959418296813965,0.125,37.94650420732796,55.49381843209267,3.747525231912732,0.0027585718780755997,27.046874990686774,0.0727624986320734,124.3189729321748,4.9445778131484985e-05,1.572651341014048,0.6678405637345805,6.811456771958813e-05,40499.0,124.3189729321748,40.720856041514274,
19,19,3945.0,7178.0,3233.0,4592.0,5760.0,4788.75,0.16331735253334045,-2.842991612851814e-05,0.005444384925067425,0.00046108040151011666,0.0,2.4453125,0.056860195249641934,29.347873210906982,32.8046875,116.41886711120605,5e-06,19.0,0.0,-2.7753775119781494,7.375,-19.615385055541992,-2.7753775119781494,7.375,-19.615385055541992,0.005614937283098698,1.494458794593811,-1.6501942873001099,0.005614937283098698,1.494458794593811,-1.6501942873001099,561.375,2048.0,323.0,0.02500000037252903,561.375,2048.0,323.0,0.02500000037252903,0.0,396.375,619.0,289.0,0.0,5.772709846496582e-05,13.366164207458496,34.383216857910156,8.249126434326172,0.125,38.87483752518892,66.60906901396811,3.76695285923779,0.0047933198511600494,26.984971579164267,0.07401862367987633,136.3214222881943,5.5907294154167175e-05,1.7312330227205042,0.7043845361306256,0.0001251192861174641,38310.0,136.3214222881943,35.12837468696741,
20,20,3770.0,6025.0,2255.0,5012.0,5066.0,5039.75,0.14916378259658813,-5.712892394513503e-05,0.005404291152080987,0.00018812499047271558,0.0,2.3046875,0.06080701337416698,29.347873210906982,32.8046875,116.40380477905273,5e-06,20.0,0.0,-1.7445507049560547,7.6086955070495605,-18.87755012512207,-1.7445507049560547,7.6086955070495605,-18.87755012512207,0.004203807562589645,1.2285680770874023,-1.7255514860153198,0.004203807562589645,1.2285680770874023,-1.7255514860153198,563.2000122070312,1084.0,347.0,0.0,563.2000122070312,1084.0,347.0,0.0,0.0,444.75,646.0,296.0,0.0,6.120093166828156e-05,12.371480941772461,18.2563533782959,8.272375106811523,0.125,22.778970988467336,47.77627817168832,3.7262721564620733,0.004496913403272629,26.550443133339286,0.07516316324472427,100.92805649526417,4.973262548446655e-05,1.0111404025420514,0.658525798237494,0.00011153612290472317,40318.0,100.92805649526417,49.9340834947761,
